generation,vial_id,eggs,par_eff,par_temp,par_diet,rep,age
F1,3,85,mat,21,0.4,a,4
F1,4,97,mat,21,0.4,b,4
F1,7,126,mat,21,1,a,4
F1,8,136,mat,21,1,b,4
F1,11,194,mat,21,1.5,a,4
F1,12,178,mat,21,1.5,b,4
F1,15,74,mat,23,0.4,a,4
F1,16,96,mat,23,0.4,b,4
F1,19,107,mat,23,1,a,4
F1,20,120,mat,23,1,b,4
F1,23,147,mat,23,1.5,a,4
F1,24,132,mat,23,1.5,b,4
F1,27,89,mat,25,0.4,a,4
F1,28,132,mat,25,0.4,b,4
F1,31,127,mat,25,1,a,4
F1,32,120,mat,25,1,b,4
F1,35,99,mat,25,1.5,a,4
F1,36,105,mat,25,1.5,b,4
F1,39,150,mat,27,0.4,a,4
F1,40,64,mat,27,0.4,b,4
F1,43,110,mat,27,1,a,4
F1,44,129,mat,27,1,b,4
F1,47,118,mat,27,1.5,a,4
F1,48,105,mat,27,1.5,b,4
F1,51,92,mat,29,0.4,a,4
F1,52,112,mat,29,0.4,b,4
F1,55,123,mat,29,1,a,4
F1,56,171,mat,29,1,b,4
F1,59,160,mat,29,1.5,a,4
F1,60,146,mat,29,1.5,b,4
F1,63,183,pat,21,0.4,a,4
F1,64,199,pat,21,0.4,b,4
F1,67,172,pat,21,1,a,4
F1,68,83,pat,21,1,b,4
F1,71,158,pat,21,1.5,a,4
F1,72,162,pat,21,1.5,b,4
F1,75,156,pat,23,0.4,a,4
F1,76,159,pat,23,0.4,b,4
F1,79,146,pat,23,1,a,4
F1,80,140,pat,23,1,b,4
F1,83,160,pat,23,1.5,a,4
F1,84,180,pat,23,1.5,b,4
F1,87,196,pat,25,0.4,a,4
F1,88,217,pat,25,0.4,b,4
F1,91,157,pat,25,1,a,4
F1,92,167,pat,25,1,b,4
F1,95,119,pat,25,1.5,a,4
F1,96,105,pat,25,1.5,b,4
F1,99,171,pat,27,0.4,a,4
F1,100,140,pat,27,0.4,b,4
F1,103,97,pat,27,1,a,4
F1,104,147,pat,27,1,b,4
F1,107,183,pat,27,1.5,a,4
F1,108,52,pat,27,1.5,b,4
F1,111,147,pat,29,0.4,a,4
F1,112,141,pat,29,0.4,b,4
F1,115,139,pat,29,1,a,4
F1,116,178,pat,29,1,b,4
F1,119,97,pat,29,1.5,a,4
F1,120,92,pat,29,1.5,b,4
