generation,temp,diet,replicate_vial,male_id,date,time_in,start_mating,end_mating,mated,latency_to_mate,mating_duration
F0,21,0.4,a,1,6/08/2019,9:26,9:56,10:19,yes,30,23
F0,21,0.4,b,2,6/08/2019,9:26,9:45,10:07,yes,19,22
F0,21,0.4,a,3,6/08/2019,9:26,9:45,10:15,yes,19,30
F0,21,0.4,b,4,6/08/2019,9:26,9:35,9:56,yes,9,21
F0,21,0.4,a,5,6/08/2019,9:26,10:05,10:31,yes,39,26
F0,21,0.4,b,6,6/08/2019,9:26,9:42,10:09,yes,16,27
F0,21,0.4,a,7,6/08/2019,9:26,9:36,10:07,yes,10,31
F0,21,0.4,b,8,6/08/2019,8:57,9:05,9:30,yes,8,25
F0,21,0.4,a,9,6/08/2019,8:57,9:13,9:35,yes,16,22
F0,21,0.4,b,10,6/08/2019,8:57,10:12,10:42,yes,75,30
F0,21,0.4,a,11,6/08/2019,8:57,9:09,9:31,yes,12,22
F0,21,0.4,b,12,6/08/2019,8:57,9:10,9:31,yes,13,21
F0,21,0.4,a,13,6/08/2019,8:57,9:18,9:44,yes,21,26
F0,21,0.4,b,14,6/08/2019,8:57,9:17,9:41,yes,20,24
F0,21,1,a,1,6/08/2019,9:18,9:34,9:49,yes,16,15
F0,21,1,b,2,6/08/2019,9:18,9:25,9:48,yes,7,23
F0,21,1,a,3,6/08/2019,9:18,9:30,9:55,yes,12,25
F0,21,1,b,4,6/08/2019,9:18,,,no,,
F0,21,1,a,5,6/08/2019,9:18,9:28,9:49,yes,10,21
F0,21,1,b,6,6/08/2019,9:18,11:43,12:08,yes,145,25
F0,21,1,a,7,6/08/2019,9:18,9:34,9:55,yes,16,21
F0,21,1,b,8,6/08/2019,9:59,10:09,10:28,yes,10,19
F0,21,1,a,9,6/08/2019,9:59,10:14,10:38,yes,15,24
F0,21,1,b,10,6/08/2019,9:59,10:35,10:58,yes,36,23
F0,21,1,a,11,6/08/2019,9:59,10:08,10:34,yes,9,26
F0,21,1,b,12,6/08/2019,9:59,11:07,11:23,yes,68,16
F0,21,1,a,13,6/08/2019,9:59,10:08,10:31,yes,9,23
F0,21,1,b,14,6/08/2019,9:59,10:08,10:31,yes,9,23
F0,21,1.5,a,1,6/08/2019,9:58,10:23,10:53,yes,25,30
F0,21,1.5,b,2,6/08/2019,9:58,10:11,10:32,yes,13,21
F0,21,1.5,a,3,6/08/2019,9:58,10:10,10:47,yes,12,37
F0,21,1.5,b,4,6/08/2019,9:58,10:11,10:37,yes,13,26
F0,21,1.5,a,5,6/08/2019,9:58,10:32,10:59,yes,34,27
F0,21,1.5,b,6,6/08/2019,9:58,10:06,10:29,yes,8,23
F0,21,1.5,a,7,6/08/2019,9:58,,,no,,
F0,21,1.5,b,8,6/08/2019,9:24,,,no,,
F0,21,1.5,a,9,6/08/2019,9:24,9:37,9:59,yes,13,22
F0,21,1.5,b,10,6/08/2019,9:24,9:35,9:59,yes,11,24
F0,21,1.5,a,11,6/08/2019,9:24,9:39,9:59,yes,15,20
F0,21,1.5,b,12,6/08/2019,10:07,,,no,,
F0,21,1.5,a,13,6/08/2019,9:24,9:50,10:11,yes,26,21
F0,21,1.5,b,14,6/08/2019,9:24,9:30,9:52,yes,6,22
F0,23,0.4,a,1,6/08/2019,9:13,9:50,10:17,yes,37,27
F0,23,0.4,b,2,6/08/2019,9:13,9:31,9:59,yes,18,28
F0,23,0.4,a,3,6/08/2019,9:12,9:18,9:45,yes,6,27
F0,23,0.4,b,4,6/08/2019,9:12,,,no,,
F0,23,0.4,a,5,6/08/2019,9:12,10:09,10:42,yes,57,33
F0,23,0.4,b,6,6/08/2019,9:12,9:51,10:02,yes,39,11
F0,23,0.4,a,7,6/08/2019,9:12,10:59,11:25,yes,107,26
F0,23,0.4,b,8,6/08/2019,9:39,9:58,10:15,yes,19,17
F0,23,0.4,a,9,6/08/2019,9:39,9:48,10:16,yes,9,28
F0,23,0.4,b,10,6/08/2019,9:39,11:37,11:54,yes,118,17
F0,23,0.4,a,11,6/08/2019,9:39,,,no,,
F0,23,0.4,b,12,6/08/2019,9:39,12:25,12:44,yes,166,19
F0,23,0.4,a,13,6/08/2019,9:39,,,no,,
F0,23,0.4,b,14,6/08/2019,9:39,10:30,10:49,yes,51,19
F0,23,1,a,1,6/08/2019,9:56,10:09,10:34,yes,13,25
